id,created_at,updated_at,deleted_at,name,longitude,latitude,addresse,district_id
1,,,,PALAIS DES SPORTS,-4.00545,5.29809,,10
4,,,,DISTRICT SANITAIRE YAMOUSSOUKRO,-5.277214,6.818035,,23
5,,,,CHU BOUAKÉ,-5.028409,7.698127,,38
6,,,,KORHOGO,-5.614014,9.470736,,94
7,,,,SAN PEDRO,-6.652625,4.765544,,98
8,,,,ABOISSO,-3.2142,5.467928,,100
12,,,,ABENGOUROU,-3.46707,6.709428,,68
13,,,,CENTRE MAGISTRAT,-3.963065,5.332067,,5
15,,,,TEST CENTRE,-4.093094,5.319167,,1
16,,,,CHU COCODY,-3.994388,5.342909,,7
17,,,,CHU ANGRE,-3.98424,5.403056,,7
18,,,,HG BINGERVILLE,-3.884255,5.361869,,7
19,,,,CSU ANGRÉ,-3.98458,5.405168,,7
20,,,,CSR ELOKA,-3.745618,5.299,,7
21,,,,CSU COM PALMERAIE,-3.962429,5.363287,,7
22,,,,CSU COLOMBIE,-4.006021,5.374887,,7
23,,,,CSU BLOKOSS,-4.001548,5.324687,,7
24,,,,CSU GBAGBA,-3.88769,5.349698,,7
25,,,,CSU M’BADON,-3.934896,5.328412,,7
26,,,,SIEGE DU DISTRICT (DISPENSAIRE URBAIN DE COCODY),-4.004705,5.338784,,7
28,,,,CSU AKWABA,-3.891011,5.240345,,9
29,,,,HG PORT BOUET,-3.962178,5.262608,,9
30,,,,POLYCLINIQUE CROISSANT ROUGE,-3.917469,5.243115,,9
31,,,,CSU COM GONZAGUEVILLE,-3.891183,5.242982,,9
32,,,,FSU COM VRIDI CANAL,-3.996156,5.255196,,9
33,,,,CSU COM VRIDI 3L,-3.994938,5.274764,,9
34,,,,HOPITAL VRIDI CITÉ,-4.004714,5.257,,9
35,,,,CSU COM ZOE BRUNO,-3.950564,5.283312,,8
36,,,,CSU COM DIVO,-3.950728,5.306033,,8
37,,,,FSSU COM PANGOLIN,-3.946388,5.30032,,8
38,,,,HÔPITAL GENERAL DE KOUMASSI,-3.968896,5.287318,,8
39,,,,CSU BOKABO,-4.034203,5.426069,,4
40,,,,CSUCOM ASSOMIN,-4.05574,5.438409,,4
41,,,,ELRAPHA,-4.019843,5.404176,,4
42,,,,FSUCOM SAGBE,-4.032059,5.416498,,4
43,,,,HG ABOBO SUD,-4.01642,5.4239,,4
44,,,,CHU YOPOUGON,-4.089852,5.357625,,2
45,,,,CSU KENNEDY,-4.000308,5.423863,,3
46,,,,FSU COM WASSAKARA,-4.068365,5.353106,,1
47,,,,CHR ABOBO,-4.008027,5.443648,,3
48,,,,FSU COM ANDOKOI,-4.068862,5.362641,,1
49,,,,ANTENNE INHP ABOBO BAOULÉ,-3.989863,5.423044,,3
51,,,,FSUCOM KOUTÉ,-4.075163,5.321534,,1
52,,,,FSU COM TOITS ROUGE,-4.056356,5.331481,,1
53,,,,CSU SANTÉ,-4.044233,5.309302,,1
54,,,,HG TREICHVILLE,-4.018056,5.308539,,10
55,,,,INHP YOPOUGON,-4.057088,5.32574,,1
56,,,,HG MARCORY,-3.98341,5.301532,,10
59,,,,CSU MACA,-4.076597,5.389096,,1
60,,,,SIEGE DU DISTRICT,-4.015448,5.307518,,10
61,,,,INHP TREICHVILLE,-4.004858,5.294658,,10
63,,,,FSU PMI ATTECOUBE,-4.03298,5.349759,,6
64,,,,PARC DES SPORTS,-4.005404,5.298293,,10
65,,,,CSU COM WILLIASVILLE,-4.024718,5.373275,,6
66,,,,FSU ABOBO DOUMÉ,-4.040742,5.309976,,6
67,,,,MATERNITÉ WILLIASVILLE,-4.023133,5.367027,,6
68,,,,HÔPITAL DES FONCTIONNAIRES,-4.02208,5.323945,,6
69,,,,HÔPITAL GÉNÉRAL D’ADJAMÉ,-4.024727,5.348712,,6
70,,,,HOPITAL GENERAL ANYAMA,-4.045935,5.500248,,5
71,,,,CSU BROFODOUMÉ,-3.930774,5.519101,,5
72,,,,CENTRE CONFESSIONNEL SŒUR CATHERINE PORT BOUET 2,-4.091423,5.351448,,2
73,,,,FSU COM KOWET,-4.057067,5.325667,,1
74,,,,ANTENNE INHP PORT BOUET,-3.946564,5.248759,,9
75,,,,CSU ANONKOI,-4.049928,5.424231,,5
76,,,,CSU ANYAMA DEBARCADAIRE,-3.923051,5.435059,,5
77,,,,CSU ATTINGUIÉ,-4.184461,5.46703,,5
78,,,,CSU CISSÉ,-4.051045,5.482801,,5
79,,,,CSU ATTIEKOUA,-3.968719,5.54173,,5
80,,,,DISPENSAIRE URBAIN,-4.049137,5.499275,,5
81,,,,SSU ANYAMA LYCÉE 1,-4.064127,5.49434,,5
82,,,,FSU ABOBO AVOCATIER,-4.031332,5.440683,,3
83,,,,CSU COM AGOUETO,-4.054601,5.444884,,4
84,,,,FSCOM ANONKOUA KOUTE,-4.046673,5.435201,,4
85,,,,CSU SPHINX,-4.068339,5.443504,,4
86,,,,CAMP DE GENDARMERIE AGBAN,-4.00964,5.36115,,6
87,,,,CSU ABIDJAN SANTAI,-4.035957,5.314469,,6
89,,,,FSU COM KOUMASSI CAMPEMENT,-3.942292,5.302392,,8
90,,,,CSCOM KOUMASSI DIVO,-3.950898,5.306391,,8
91,,,,CHU INHP COCODY BINGERVILLE,-3.909567,5.370396,,7
92,,,,ONG CIAK,-3.952203,5.296636,,8
93,,,,CMS ENFANT JESUS,-3.948185,5.309721,,8
94,,,,SDTM,-4.021037,5.306473,,10
95,,,,CI-ENERGIE,-4.018738,5.317647,,6
96,,,,SCB PLATEAU,-4.022881,5.338593,,6
97,,,,SOLIBRA,-3.995326,5.299636,,10
98,,,,AMBASSADE DES USA,-3.97605,5.335075,,7
99,,,,PLATEAU PRÉSIDENCE,-4.022801,5.317241,,6
100,,,,FSU PLATEAU,-4.026851,5.327955,,6
101,,,,SIÈGE CIE TREICHVILLE,-4.011069,5.311255,,10
102,,,,MARCHE SICOGI,-4.078066,5.339322,,1
103,,,,FIGGAYO,-4.07286,5.350293,,1
104,,,,MACCA INTERIEUR,-4.076275,5.390734,,1
105,,,,MOSQUEE COSIM ABOBO,-4.011785,5.422525,,3
106,,,,DEPOT 9,-4.035309,5.439076,,3
107,,,,CSU COM ABOBO KENNEDY,-4.000236,5.423748,,3
108,,,,ETS SAINTE FOI,-4.023059,5.444978,,3
109,,,,POLY CINIQUE CENTRAL,-4.006718,5.411148,,3
110,,,,CSS ANGE GARDIEN,-4.023655,5.451897,,3
111,,,,CSA ESC 1/3 ABOBO,-4.015749,5.441762,,3
112,,,,PK18,-4.060465,5.44639,,3
113,,,,MOSQUEE CHU,-4.001,5.292,,10
115,,,,CSA ESC 4/1 KOUMASSI,-3.953592,5.302486,,8
116,,,,BCEAO,-4.015039,5.321939,,6
117,,,,NSIA VIE ASSURANCE,-4.016247,5.318147,,6
118,,,,CSU COM ALIODAN,-3.979169,5.305845,,10
119,,,,SIÈGE RHDP,-4.015628,5.438639,,3
120,,,,GRAND MARCHÉ DE DOKUI,-4,5.396302,,3
121,,,,CENTRE ANTI-TUBERCULEUX ABOBO,-4.015347,5.437026,,3
122,,,,PHARMACIE RACINE,-4.00986,5.41283,,3
123,,,,MOSQUEE AL KABIR,-4.018231,5.439228,,3
124,,,,MOSQUEE BAYO,-4.013758,5.43501,,3
125,,,,MOSQUEE SODEPALM,-4.004947,5.411969,,3
126,,,,GROUPE SCOLAIRE ELITE,-4.01903,5.427411,,3
127,,,,CSU COM ABOBO BC,-4.017236,5.44503,,3
128,,,,MOSQUEE TAWAKALTOU,-4.036262,5.430395,,3
129,,,,POLYCLINIQUE INDENIE,-4.019355,5.33839,,6
130,,,,PRIMATURE,-4.022129,5.320069,,6
131,,,,MARCHE DE AKEIKOI,-4.013815,5.452271,,3
132,,,,CSU COM ABOBO BANCO,-4.01001,5.409852,,3
133,,,,MOSQUEE ACID,-4.027267,5.442847,,3
136,,,,CSR ADJAHUI,-3.943549,5.274042,,9
137,,,,VRIDI COCOTIER,-3.976821,5.261712,,9
2748,,,,CSR KONANKRO SAKASSOU,0,0,,41
139,,,,FSU-COM LES HORTENSIAS,-3.996268,5.255534,,9
140,,,,PORT-BOUET TERRAIN PETIT BASSAM,-3.993167,5.255272,,9
141,,,,LYCEE MODERNE ABOBO,-4.012,5.428,,3
142,,,,TERMINUS 27,-4.089519,5.316331,,2
143,,,,PAROISSE SAINTE FRANCOISE,-4.096632,5.383585,,2
144,,,,MOSQUEE AVENUE 8,-4.010966,5.30743,,10
145,,,,CLINIQUE FARAH,-3.986166,5.311052,,10
146,,,,FSU COM PORT BOUET 2,-4.093078,5.347185,,2
147,,,,CSU ASAPSU,-4.050038,5.424343,,4
148,,,,MOSQUEE KOUDOUSS,-4.087633,5.346675,,2
149,,,,BANCO 2,-4.08231,6.355684,,2
150,,,,BANCO 2 ALLOCODROME,-4.078724,5.352738,,2
151,,,,BONIKRO,-4.107396,5.351223,,2
152,,,,FSU COM GESCO,-4.101,5.37,,2
153,,,,NESTLE,-4.084754,5.372841,,2
154,,,,V1,-4.080688,5.359883,,2
155,,,,ZONE INDUSTRIELLE,-4.081731,5.370114,,2
156,,,,CARGILL,-4.095749,5.37778,,9
157,,,,KASSEMBLE,-4.213477,5.314169,,2
158,,,,CITE VERTE,-4.066191,5.340571,,2
159,,,,SSSU TREICHVILLE,-4.001306,5.307243,,10
160,,,,CENTRE ANTI TUBERCULEUX DE TREICHVILLE,-4.001,5.299658,,10
161,,,,TOMACI SDTM,-4.005939,5.278932,,10
162,,,,MOSQUEE MADINA,-3.972684,5.301132,,10
163,,,,MOSQUEE DOUKOURE,-4.070358,5.367477,,1
164,,,,PLACE CP1,-4.070952,5.341571,,1
165,,,,MOSQUEE INACHEVEE,-4.011812,5.422493,,4
166,,,,ADJAME MAIRIE,-4.026398,5.342873,,6
167,,,,EMAT AKOUEDO,-3.948431,5.354052,,7
168,,,,LYCEE TECHNIQUE,-4.004521,5.372971,,7
169,,,,GSPM INDENIE,-4.019614,5.341629,,7
170,,,,NOUVEAU CAMP AKOUEDO,-3.944629,5.371614,,7
171,,,,EMPT BINGERVILLE,-3.892115,5.359631,,7
172,,,,MAIRIE DE ABOBO,-4.016254,5.420694,,4
173,,,,GAGNOA GARE,-4.019567,5.42621,,4
174,,,,ABOBO SAPHIR,-4.054985,5.443882,,4
175,,,,MARCHE ABOBO,-4.015764,5.425279,,4
176,,,,MARCHE PK18 ASSOMIN,-4.055742,5.428256,,4
177,,,,SAINT JOSEPH,-4.018013,5.419215,,4
178,,,,MARCHE POULET,-4.018579,5.42469,,4
179,,,,ECOLE JAPONAISE,-4.047873,5.444468,,4
181,,,,MOSQUEE NOUR,-4.009679,5.408038,,4
182,,,,ECOLE DE GENDARMERIE DE ABIDJAN (EGA),-3.995,5.349721,,7
183,,,,MOSQUEE SONTA,-4.05457,5.449442,,4
184,,,,MOSQUEE BARD,-4.058199,5.447951,,4
185,,,,ANONKOUA SODECI,-4.049489,5.42428,,4
186,,,,GRACE JEANNINE,-4.079503,5.443329,,4
187,,,,MOSQUEE RACHID,-3.998062,5.418382,,4
188,,,,SMI ABOBO,-3.993471,5.418244,,4
189,,,,MOSQUEE ZEINAB BERTHE,-4.002876,5.414606,,4
190,,,,MOSQUEE ANTENNE,-4.001226,5.416041,,4
191,,,,V2 N DOTRE,-4.078439,5.469504,,4
192,,,,N DOTRE,-4.069529,5.443437,,4
193,,,,MAIRIE D ANYAMA,-4.053885,5.507033,,5
194,,,,GARE DE TRAIN,-4.055156,5.495951,,5
195,,,,CM SOUTRA,-4.022162,5.411979,,4
3234,,,,CSU SRAN BONDOSSOU,0,0,,41
197,,,,CENTRE SOCIAL ANYAMA,-4.050051,5.494195,,5
198,,,,BEATITUDE ABOBO,-3.993866,5.416865,,4
199,,,,RAIL ANYAMA,-4.05868,5.495878,,5
200,,,,SSSU 2 AGBEKOI,-4.015964,5.438719,,3
201,,,,ROTARI AGBEKOI,-4.009325,5.427257,,3
202,,,,FORCES SPECIALES ADIAKE,-3.299501,5.280032,,7
203,,,,ECOLE DE GENDARMERIE TOROGUIE (EGT),-6.464999,6.948951,,7
204,,,,2EME BATAILLON PROJECTABLE,-4.053337,5.424487,,7
205,,,,FORCES SPECIALE N DOTRE,-4.053002,5.424961,,7
206,,,,GSPR COCODY,-3.994978,5.350287,,7
207,,,,FORCES SPECIALES COCODY,-3.995067,5.350557,,7
208,,,,ESCADRON 2 YOPOUGON,-4.055017,5.326646,,1
209,,,,CAPH CI ANONKOIA KOUTE,-4.04882,5.432994,,4
211,,,,ESPACE DE JEUX EMCC,-3.969424,5.288645,,8
212,,,,THOMASSET,-4.074218,5.579677,,5
215,,,,CAMP MILITAIRE (UCS),-4.061094,5.51339,,5
216,,,,MARCHE BOCABO,-4.033636,5.414749,,4
217,,,,COQIVOIRE ABOBO,-4.048394,5.444855,,3
218,,,,PALMERAIE MOSQUEE BARO,-4.015266,5.306509,,4
219,,,,PHARMACIE ACTUELLE,-3.994813,5.413715,,3
220,,,,OCPV ABOBO,-4.044496,5.446049,,3
221,,,,PAROISSE SAINT MARC,-4.00749,5.451608,,3
222,,,,TERRAIN BIABOU,-3.98438,5.439825,,3
223,,,,GRAND COMMANDEMENT,-4.053058,5.506093,,5
224,,,,MOSQUEE GABON PK18,-4.048036,5.442267,,3
225,,,,ORANGE TREICHVILLE,-4.012507,5.305612,,10
2553,,2022-09-02 15:41:40.307294 +00:00,,DISTRICT SANITAIRE BOTRO,-5.3065506278813315,7.852888350223842,,40
227,,,,PISCINE D ETAT,-4.00092,5.308628,,10
228,,,,ONG ACID,-3.989164,5.423104,,3
229,,,,MOSQUEE AVENUE 24,-4.004088,5.302324,,10
230,,,,MOSQUEE WILLIAMSVILLE,-4.020635,5.364925,,6
231,,,,MOSQUEE HAMZA,-4.015266,5.306509,,10
232,,,,ÉCOLE DE POLICE,-3.989688,5.351634,,7
233,,,,TERRAIN PK18,-4.05162,5.449834,,3
234,,,,MOSSIKRO,-4.045036,5.34999,,6
235,,,,CIE PORT,-3.99409,5.290565,,10
236,,,,MOSQUEE AVENUE 21,-4.006426,5.303065,,10
237,,,,SEMPA,-4.016018,5.29986,,10
238,,,,KOKOUA,-4.015266,5.306509,,10
239,,,,USAC,-4.004022,5.289928,,10
240,,,,SERVICE DES MALADIES INFECTIEUSES ET TROPICALES (SMIT),-4.004888,5.29072,,10
241,,,,VRIDI POSTE,-3.984427,5.263914,,10
242,,,,ASAPSU,-3.964844,5.310722,,10
243,,,,DECO PLATEAU,-4.021248,5.323791,,6
244,,,,MOSQUEE SAINTE FOI,-4.024913,5.442752,,3
245,,,,POLYCLINIQUE GMP PLATEAU,-4.013906,5.320624,,6
247,,,,MAIRIE DE COCODY,-4.003336,5.332716,,7
248,,,,DISPENSAIRE MUNICIPAL M BADON,-3.934909,5.331216,,7
250,,,,COCODY 7ÈME TRANCHE,-3.984603,5.396099,,7
252,,,,CENTRE ANTI TUBERCULEUX D ADJAME,-4.024638,5.341878,,6
253,,,,CENTRE DE SANTE HKB BLOCKHAUSS,-4.001646,5.324639,,7
254,,,,CENTRE MEDICAL NIMATOULLAH,-3.993958,5.398804,,7
255,,,,LMTV,-3.993626,5.365057,,7
256,,,,ABOCATIER DADIER,-4.037077,5.435398,,4
259,,,,GARE YAYA FOFANA,-4.975253,5.293909,,8
260,,,,PLACE INCHALLA,-3.955406,5.299133,,8
261,,,,FSU COM ADIOPODOUME,-4.132676,5.337775,,2
262,,,,CLINIQUE MÉDICALE LE GRAND CENTRE,-4.087621,5.336875,,2
263,,,,CEPREF,-4.079745,5.341965,,2
264,,,,CLINIQUE MÉDICALE JANE LEORA,-4.097217,5.350962,,2
269,,,,CSA GARDE REPUBLICAINE TREICHVILLE,-4.013547,5.310956,,10
270,,,,GROUPEMENT MINISTÉRIEL DES MOYENS GÉNÉRAUX,-4.023992,5.337881,,6
274,,,,MARCHE FORUM,-4.027254,5.345474,,6
276,,,,CSR SONGON AGBAN,-4.256388,5.319262,,2
286,,,,MARCHE PORT BOUET,-3.963854,5.258112,,9
287,,,,CSU GENIE 2000,-3.936183,5.373326,,7
289,,,,DREN ABIDJAN 3,-4.103496,5.352389,,1
291,,,,MAIRIE PORT BOUET,-3.965037,5.259592,,9
292,,,,ABATTOIR DE PORT BOUET,-3.968153,5.260884,,9
294,,,,INHP ABOBO,-3.989863,5.423044,,3
295,,,,CSU ALLOSO,-3.581124,5.622758,,75
296,,,,DISTRICT SANITAIRE ALEPE,-3.663391,5.501932,,75
297,,,,CSU GRAND ALEPE,-3.762538,5.476781,,75
298,,,,CHEZ LE CHEF,-3.580771,5.623431,,75
300,,,,CSR MONGA (ALEPE),-3.661509,5.478433,,75
301,,,,CSR MONTEZO FOYER,-3.740002,5.483427,,75
302,,,,DISPENSAIRE DE KOSSANDJI,-3.628288,5.812731,,75
303,,,,AKOUPE,-3.746149,5.379059,,75
