id,created_at,updated_at,,nom,region_id
114,2022-07-02 17:21:41.163271 +00:00,2022-07-02 17:21:41.163271 +00:00,,BOUAKE SUD,11
112,2022-07-02 17:21:41.099134 +00:00,2022-07-02 17:21:41.099134 +00:00,,KANI,33
1,2022-07-02 17:21:38.435681 +00:00,2022-07-02 17:21:38.435681 +00:00,,"YOPOUGON EST (CHU)
",1
2,2022-07-02 17:21:38.468846 +00:00,2022-07-02 17:21:38.468846 +00:00,,"YOPOUGON OUEST SONGON
",1
3,2022-07-02 17:21:38.500749 +00:00,2022-07-02 17:21:38.500749 +00:00,,ABOBO EST ,1
4,2022-07-02 17:21:38.526139 +00:00,2022-07-02 17:21:38.526139 +00:00,,ABOBO OUEST,1
5,2022-07-02 17:21:38.552941 +00:00,2022-07-02 17:21:38.552941 +00:00,,ANYAMA,1
6,2022-07-02 17:21:38.580475 +00:00,2022-07-02 17:21:38.580475 +00:00,,ADJAME PLATEAU ATTECOUBE,2
7,2022-07-02 17:21:38.608632 +00:00,2022-07-02 17:21:38.608632 +00:00,,COCODY BINGERVILLE,2
8,2022-07-02 17:21:38.638459 +00:00,2022-07-02 17:21:38.638459 +00:00,,KOUMASSI,2
9,2022-07-02 17:21:38.660994 +00:00,2022-07-02 17:21:38.660994 +00:00,,PORT-BOUET VRIDI,2
10,2022-07-02 17:21:38.687421 +00:00,2022-07-02 17:21:38.687421 +00:00,,TREICHVILLE MARCORY,2
11,2022-07-02 17:21:38.711741 +00:00,2022-07-02 17:21:38.711741 +00:00,,AGBOVILLE,3
12,2022-07-02 17:21:38.736963 +00:00,2022-07-02 17:21:38.736963 +00:00,,SIKENSI,3
13,2022-07-02 17:21:38.763313 +00:00,2022-07-02 17:21:38.763313 +00:00,,TIASSALE,3
14,2022-07-02 17:21:38.793554 +00:00,2022-07-02 17:21:38.793554 +00:00,,TOUBA,4
15,2022-07-02 17:21:38.816687 +00:00,2022-07-02 17:21:38.816687 +00:00,,KORO,4
17,2022-07-02 17:21:38.860501 +00:00,2022-07-02 17:21:38.860501 +00:00,,BOUNDIALI,5
18,2022-07-02 17:21:38.881098 +00:00,2022-07-02 17:21:38.881098 +00:00,,KOUTO,5
19,2022-07-02 17:21:38.905690 +00:00,2022-07-02 17:21:38.905690 +00:00,,TENGRELA,5
